alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
UM,UMI,581,ISO 3166-2:UM,Oceania,Micronesia,,9,57,
UY,URY,858,ISO 3166-2:UY,Americas,Latin America and the Caribbean,South America,19,419,5
UZ,UZB,860,ISO 3166-2:UZ,Asia,Central Asia,,142,143,
VU,VUT,548,ISO 3166-2:VU,Oceania,Melanesia,,9,54,
VE,VEN,862,ISO 3166-2:VE,Americas,Latin America and the Caribbean,South America,19,419,5
VN,VNM,704,ISO 3166-2:VN,Asia,South-eastern Asia,,142,35,
VG,VGB,92,ISO 3166-2:VG,Americas,Latin America and the Caribbean,Caribbean,19,419,29
VI,VIR,850,ISO 3166-2:VI,Americas,Latin America and the Caribbean,Caribbean,19,419,29
WF,WLF,876,ISO 3166-2:WF,Oceania,Polynesia,,9,61,
EH,ESH,732,ISO 3166-2:EH,Africa,Northern Africa,,2,15,
YE,YEM,887,ISO 3166-2:YE,Asia,Western Asia,,142,145,
ZM,ZMB,894,ISO 3166-2:ZM,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
ZW,ZWE,716,ISO 3166-2:ZW,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
